Code;Name
01.00.00;Оборудование
01.01.00;Охрана и сигнализация
01.01.01;Сейфы
01.01.02;Системы контроля доступа
01.01.03;Замки и фурнитура
01.01.04;Регулировка движения
01.01.05;Сигнализация
01.01.06;Системы видеонаблюдения
01.01.07;Электропитание
01.01.08;Домофоны
01.01.09;Средства самообороны
01.01.10;Противопожарное оборудование
01.01.11;ИК-прожекторы 
01.02.00;Рекламные сувениры
01.03.00;Промышленное производство
01.03.01;Упаковочное оборудование
01.03.02;Швейное производство
01.03.03;Для производства и тиражирования CD и DVD дисков
01.03.04;Грузоподъемное оборудование
01.03.05;Пищевая промышленность
01.03.06;Станки
01.03.07;Насосы промышленные
01.03.08;Производственно-техническое оборудование
01.04.00;Сфера услуг
01.04.01;Оборудование для медучреждений
01.04.02;Оборудование для салонов красоты
01.04.03;Оборудование для автосервисов
01.04.04;Банковское оборудование
01.04.05;Оборудование для магазинов
01.05.00;Издательство и полиграфия
01.05.01;Издательское оборудование
01.05.02;Полиграфическое оборудование
01.05.03;Расходные материалы
01.06.00;Сценическое и аудиооборудование
01.06.01;Аудиооборудование для концертных залов
01.06.02;Световое и сценическое оборудование
01.06.03;Оборудование для звукозаписывающих студий
01.07.00;Лабораторное оборудование
01.08.00;Рабочая одежда
01.09.00;Воздушные компрессоры
01.10.00;Строительство
01.10.01;Бетоносмесители
01.10.02;Краны
01.10.03;Измерительное оборудование
01.10.04;Строительные вибраторы
01.10.05;Сварочное оборудование
01.11.00;Чистящая и моющая техника
01.11.01;Поломойные и подметальные машины
01.11.02;Моющие средства
01.11.03;Аксессуары и принадлежности
01.11.04;Профессиональные пылесосы
02.00.00;Дом и дача
02.01.00;Мебель
02.01.01;Раскладушки
02.01.02;Специальная мебель
02.01.03;Готовые комплекты
02.01.04;Фурнитура
02.01.05;Надувная мебель
02.01.06;Основания для матрасов и наматрасники
02.01.07;Матрасы
02.01.08;Плетеная мебель
02.01.09;Корпусная мебель
02.01.10;Компьютерные столы и стулья
02.01.11;Мягкая мебель
02.01.12;Мебель для малышей
02.02.00;Дом и интерьер
02.02.01;Текстиль
02.02.02;Аксессуары для ухода за одеждой и обувью
02.02.03;Кухонная посуда и принадлежности
02.02.04;Средства против насекомых
02.02.05;Аксессуары для ванной и туалета
02.02.06;Хозяйственный инвентарь
02.02.07;Интерьер
02.02.08;Бытовая химия
02.03.00;Товары для животных
02.03.01;Корма и лакомства
02.03.02;Витамины и добавки
02.03.03;Лекарственные препараты
02.03.04;Сопутствующие товары
02.03.05;Одежда и обувь
02.03.06;Инкубаторы
02.03.07;Аквариумистика
02.04.00;Освещение
02.04.01;Торшеры
02.04.02;Подсветка
02.04.03;Уличные светильники
02.04.04;Светильники
02.04.05;Люстры
02.04.06;Настольные лампы
02.04.07;Бра
02.04.08;Ночники
02.04.09;Лампочки
02.05.00;Строительство и ремонт
02.05.01;Почтовые ящики
02.05.02;Электрика
02.05.03;Водоснабжение и водоотведение
02.05.04;Проекты домов
02.05.05;Электроинструменты
02.05.06;Лестницы
02.05.07;Элементы лестниц
02.05.08;Инструменты
02.05.09;Сантехника
